segment_name,time_second,bitrate_kbps
ai_seg_13_1080p.mp4,8,27.29
ai_seg_13_1080p.mp4,9,21.46
ai_seg_13_360p.mp4,0,101.14
ai_seg_13_360p.mp4,1,22.39
ai_seg_13_360p.mp4,2,124.81
ai_seg_13_360p.mp4,3,9.0
ai_seg_13_360p.mp4,4,6.36
ai_seg_13_360p.mp4,5,6.42
ai_seg_13_360p.mp4,6,6.21
ai_seg_13_360p.mp4,7,6.24
ai_seg_13_360p.mp4,8,6.05
ai_seg_13_360p.mp4,9,5.06
ai_seg_13_480p.mp4,0,150.85
ai_seg_13_480p.mp4,1,39.75
ai_seg_13_480p.mp4,2,183.72
ai_seg_13_480p.mp4,3,14.02
ai_seg_13_480p.mp4,4,7.87
ai_seg_13_480p.mp4,5,7.13
ai_seg_13_480p.mp4,6,6.86
ai_seg_13_480p.mp4,7,6.22
ai_seg_13_480p.mp4,8,6.34
ai_seg_13_480p.mp4,9,5.93
ai_seg_13_720p.mp4,0,284.23
ai_seg_13_720p.mp4,1,85.68
ai_seg_13_720p.mp4,2,337.01
ai_seg_13_720p.mp4,3,44.53
ai_seg_13_720p.mp4,4,16.9
ai_seg_13_720p.mp4,5,13.15
ai_seg_13_720p.mp4,6,13.34
ai_seg_13_720p.mp4,7,11.74
ai_seg_13_720p.mp4,8,12.56
ai_seg_13_720p.mp4,9,11.48
ai_seg_2_1080p.mp4,0,2788.93
ai_seg_2_1080p.mp4,1,2357.55
ai_seg_2_1080p.mp4,2,2082.25
ai_seg_2_1080p.mp4,3,1769.18
ai_seg_2_1080p.mp4,4,2093.54
ai_seg_2_1080p.mp4,5,2048.47
ai_seg_2_1080p.mp4,6,2333.78
ai_seg_2_1080p.mp4,7,2224.88
ai_seg_2_1080p.mp4,8,2128.69
ai_seg_2_1080p.mp4,9,1860.22
ai_seg_2_360p.mp4,0,472.24
ai_seg_2_360p.mp4,1,426.35
ai_seg_2_360p.mp4,2,432.86
ai_seg_2_360p.mp4,3,465.18
ai_seg_2_360p.mp4,4,456.36
ai_seg_2_360p.mp4,5,446.29
ai_seg_2_360p.mp4,6,455.63
ai_seg_2_360p.mp4,7,438.37
ai_seg_2_360p.mp4,8,468.62
ai_seg_2_360p.mp4,9,367.5
ai_seg_2_480p.mp4,0,731.26
ai_seg_2_480p.mp4,1,664.2
ai_seg_2_480p.mp4,2,632.43
ai_seg_2_480p.mp4,3,741.86
ai_seg_2_480p.mp4,4,704.39
ai_seg_2_480p.mp4,5,671.22
ai_seg_2_480p.mp4,6,713.97
ai_seg_2_480p.mp4,7,641.06
ai_seg_2_480p.mp4,8,699.72
ai_seg_2_480p.mp4,9,549.08
ai_seg_2_720p.mp4,0,1445.59
ai_seg_2_720p.mp4,1,1230.3
ai_seg_2_720p.mp4,2,1257.7
ai_seg_2_720p.mp4,3,1441.27
ai_seg_2_720p.mp4,4,1342.61
ai_seg_2_720p.mp4,5,1315.37
ai_seg_2_720p.mp4,6,1314.12
ai_seg_2_720p.mp4,7,1210.46
ai_seg_2_720p.mp4,8,1271.35
ai_seg_2_720p.mp4,9,998.46
ai_seg_3_1080p.mp4,0,2225.27
ai_seg_3_1080p.mp4,1,1939.65
ai_seg_3_1080p.mp4,2,1684.42
ai_seg_3_1080p.mp4,3,1233.91
ai_seg_3_1080p.mp4,4,1940.85
ai_seg_3_1080p.mp4,5,1815.98
ai_seg_3_1080p.mp4,6,1499.06
ai_seg_3_1080p.mp4,7,1972.83
ai_seg_3_1080p.mp4,8,1633.94
ai_seg_3_1080p.mp4,9,1627.32
ai_seg_3_360p.mp4,0,415.03
ai_seg_3_360p.mp4,1,332.66
ai_seg_3_360p.mp4,2,274.64
ai_seg_3_360p.mp4,3,177.31
ai_seg_3_360p.mp4,4,308.38
ai_seg_3_360p.mp4,5,288.2
ai_seg_3_360p.mp4,6,240.6
ai_seg_3_360p.mp4,7,362.16
ai_seg_3_360p.mp4,8,275.63
ai_seg_3_360p.mp4,9,241.18
ai_seg_3_480p.mp4,0,620.57
ai_seg_3_480p.mp4,1,514.43
ai_seg_3_480p.mp4,2,436.69
ai_seg_3_480p.mp4,3,285.04
ai_seg_3_480p.mp4,4,488.54
ai_seg_3_480p.mp4,5,466.61
ai_seg_3_480p.mp4,6,368.42
ai_seg_3_480p.mp4,7,537.14
ai_seg_3_480p.mp4,8,383.53
ai_seg_3_480p.mp4,9,395.03
ai_seg_3_720p.mp4,0,1143.39
ai_seg_3_720p.mp4,1,977.6
ai_seg_3_720p.mp4,2,840.61
ai_seg_3_720p.mp4,3,594.45
ai_seg_3_720p.mp4,4,955.9
ai_seg_3_720p.mp4,5,897.06
ai_seg_3_720p.mp4,6,745.38
ai_seg_3_720p.mp4,7,1045.1
ai_seg_3_720p.mp4,8,857.78
ai_seg_3_720p.mp4,9,766.93
ai_seg_4_1080p.mp4,0,1988.21
ai_seg_4_1080p.mp4,1,1467.7
ai_seg_4_1080p.mp4,2,1177.13
ai_seg_4_1080p.mp4,3,1322.54
ai_seg_4_1080p.mp4,4,2372.84
ai_seg_4_1080p.mp4,5,2268.98
ai_seg_4_1080p.mp4,6,2214.42
ai_seg_4_1080p.mp4,7,2297.31
ai_seg_4_1080p.mp4,8,1997.32
ai_seg_4_1080p.mp4,9,1906.9
ai_seg_4_360p.mp4,0,392.33
ai_seg_4_360p.mp4,1,285.29
ai_seg_4_360p.mp4,2,184.71
ai_seg_4_360p.mp4,3,212.14
ai_seg_4_360p.mp4,4,377.21
ai_seg_4_360p.mp4,5,412.74
ai_seg_4_360p.mp4,6,408.28
ai_seg_4_360p.mp4,7,440.45
ai_seg_4_360p.mp4,8,380.69
ai_seg_4_360p.mp4,9,326.19
ai_seg_4_480p.mp4,0,600.7
ai_seg_4_480p.mp4,1,388.53
ai_seg_4_480p.mp4,2,282.22
ai_seg_4_480p.mp4,3,315.38
ai_seg_4_480p.mp4,4,611.7
ai_seg_4_480p.mp4,5,625.18
ai_seg_4_480p.mp4,6,621.76
ai_seg_4_480p.mp4,7,639.19
ai_seg_4_480p.mp4,8,615.12
ai_seg_4_480p.mp4,9,492.29
ai_seg_4_720p.mp4,0,1145.11
ai_seg_4_720p.mp4,1,825.15
ai_seg_4_720p.mp4,2,543.59
ai_seg_4_720p.mp4,3,652.12
ai_seg_4_720p.mp4,4,1261.78
ai_seg_4_720p.mp4,5,1285.64
ai_seg_4_720p.mp4,6,1233.82
ai_seg_4_720p.mp4,7,1278.74
ai_seg_4_720p.mp4,8,1189.1
ai_seg_4_720p.mp4,9,1004.75
ai_seg_5_1080p.mp4,0,2036.6
ai_seg_5_1080p.mp4,1,1835.3
ai_seg_5_1080p.mp4,2,2029.06
ai_seg_5_1080p.mp4,3,2313.61
ai_seg_5_1080p.mp4,4,2735.51
ai_seg_5_1080p.mp4,5,2262.67
ai_seg_5_1080p.mp4,6,2220.22
ai_seg_5_1080p.mp4,7,2294.3
ai_seg_5_1080p.mp4,8,1647.74
ai_seg_5_1080p.mp4,9,1899.4
ai_seg_5_360p.mp4,0,356.48
ai_seg_5_360p.mp4,1,319.74
ai_seg_5_360p.mp4,2,345.58
ai_seg_5_360p.mp4,3,397.54
ai_seg_5_360p.mp4,4,493.64
ai_seg_5_360p.mp4,5,369.9
ai_seg_5_360p.mp4,6,388.82
ai_seg_5_360p.mp4,7,514.72
ai_seg_5_360p.mp4,8,349.57
ai_seg_5_360p.mp4,9,351.57
ai_seg_5_480p.mp4,0,556.08
ai_seg_5_480p.mp4,1,488.79
ai_seg_5_480p.mp4,2,531.1
ai_seg_5_480p.mp4,3,649.6
ai_seg_5_480p.mp4,4,725.67
ai_seg_5_480p.mp4,5,621.25
ai_seg_5_480p.mp4,6,581.24
ai_seg_5_480p.mp4,7,815.7
ai_seg_5_480p.mp4,8,571.31
ai_seg_5_480p.mp4,9,534.74
ai_seg_5_720p.mp4,0,1095.74
ai_seg_5_720p.mp4,1,976.65
ai_seg_5_720p.mp4,2,1071.5
ai_seg_5_720p.mp4,3,1257.66
ai_seg_5_720p.mp4,4,1466.17
ai_seg_5_720p.mp4,5,1218.29
ai_seg_5_720p.mp4,6,1140.2
ai_seg_5_720p.mp4,7,1480.44
ai_seg_5_720p.mp4,8,1181.54
ai_seg_5_720p.mp4,9,1076.05
ai_seg_6_1080p.mp4,0,2275.11
ai_seg_6_1080p.mp4,1,1852.66
ai_seg_6_1080p.mp4,2,2256.27
ai_seg_6_1080p.mp4,3,2025.03
ai_seg_6_1080p.mp4,4,1764.68
ai_seg_6_1080p.mp4,5,2340.91
ai_seg_6_1080p.mp4,6,2825.84
ai_seg_6_1080p.mp4,7,2113.1
ai_seg_6_1080p.mp4,8,1804.68
ai_seg_6_1080p.mp4,9,1565.67
ai_seg_6_360p.mp4,0,399.55
ai_seg_6_360p.mp4,1,315.17
ai_seg_6_360p.mp4,2,408.18
ai_seg_6_360p.mp4,3,373.1
ai_seg_6_360p.mp4,4,283.18
ai_seg_6_360p.mp4,5,411.74
ai_seg_6_360p.mp4,6,586.99
ai_seg_6_360p.mp4,7,366.06
ai_seg_6_360p.mp4,8,334.94
ai_seg_6_360p.mp4,9,268.55
ai_seg_6_480p.mp4,0,624.8
ai_seg_6_480p.mp4,1,469.75
ai_seg_6_480p.mp4,2,630.69
ai_seg_6_480p.mp4,3,550.48
ai_seg_6_480p.mp4,4,443.04
ai_seg_6_480p.mp4,5,648.14
ai_seg_6_480p.mp4,6,859.89
ai_seg_6_480p.mp4,7,545.74
ai_seg_6_480p.mp4,8,504.28
ai_seg_6_480p.mp4,9,410.62
ai_seg_6_720p.mp4,0,1234.32
ai_seg_6_720p.mp4,1,955.7
ai_seg_6_720p.mp4,2,1193.86
ai_seg_6_720p.mp4,3,1051.5
ai_seg_6_720p.mp4,4,883.82
ai_seg_6_720p.mp4,5,1212.86
ai_seg_6_720p.mp4,6,1526.13
ai_seg_6_720p.mp4,7,1098.48
